name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Di jual rumah baru Di Taman Modern Cakung Jakarta Timur,1950000000,4,3,13.541.667,Rumah Dijual,250,144,Tak Berperabot,,2,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-baru-di-taman-modern-cakung-jakarta-timur-oleh-rose-tan-20289795
"Di Jual Rumah di cluster Teresta, Metland Cakung. Jakarta timur",1930000000,5,3,,Rumah Dijual,136,,Tak Berperabot,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-cluster-teresta-metland-cakung-jakarta-timur-oleh-s-yanti-20208132
"Dijual rumah di perumahan taman modern, Cakung Jakarta timur",1000000000,3,2,9.615.385,Rumah Dijual,104,104,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-perumahan-taman-modern-cakung-jakarta-timur-oleh-s-yanti-20250564
"DIJUAL RUMAH HOOK ASRI di Taman Modern, Cakung , Jaktim",7000000000,5,4,14.000.000,Rumah Dijual,350,500,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hook-asri-di-taman-modern-cakung-jaktim-oleh-s-yanti-20249910
Di jual Rumah Baru Di Taman Modern Cakung Jakarta Timur,1950000000,4,3,13.541.667,Rumah Dijual,250,144,,,,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-baru-di-taman-modern-cakung-jakarta-timur-oleh-yanty-lin-20287184
"Dijual Cepat Rumah di Taman Modern, Cakung, Jakarta Timur*",2200000000,4,3,12.222.222,Rumah Dijual,250,180,,,1,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-di-taman-modern-cakung-jakarta-timur-oleh-joe-20286493
Dijual Rumah Minimalis 2lt Di Cluster Metland Menteng Cakung,1700000000,3,3,17.708.333,Rumah Dijual,90,96,Tak Berperabot,,2,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-minimalis-2lt-di-cluster-metland-menteng-cakung-oleh-tjen-20231556
Dijual Rumah Baru Di Taman Modern Cakung Jakarta Timur,1950000000,4,3,13.541.667,Rumah Dijual,250,144,Tak Berperabot,,2,,2022-07-03,-6.187507,106.959384,"https://maps.google.com/maps?ll=-6.187507,106.959384&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-di-taman-modern-cakung-jakarta-timur-oleh-wulan-20283487
Dijual Rumah di JGC Cluster Alamanda Cakung Jakarta Timur,2100000000,4,3,20.000.000,Rumah Dijual,94,105,Tak Berperabot,,1,,2022-07-03,-6.178626,106.953344,"https://maps.google.com/maps?ll=-6.178626,106.953344&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-jgc-cluster-alamanda-cakung-jakarta-timur-oleh-viany-20282440
Dijual Rumah di Perumahan Metland Menteng Cakung Jakarta Timur,2360000000,4,3,14.750.000,Rumah Dijual,200,160,Tak Berperabot,,,,2022-07-03,-6.184506,106.968327,"https://maps.google.com/maps?ll=-6.184506,106.968327&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-perumahan-metland-menteng-cakung-jakarta-timur-oleh-susy-bangun-20282316
