name,price,bedroom_count,bathroom_count,price_per_m2,type,land_area,building_area,interior,floor_count,parking_spaces,construction_date,listing_date,latitude,longitude,map_link,developer,url_link
Kelapa Gading,4200000000,5,4,35.000.000,Rumah Dijual,250,120,Sebagian,,1,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-diego-19321075
Kelapa gading,8800000000,8,5,48.888.889,Rumah Dijual,405,180,,,4,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-diego-19823951
Kelapa gading,7000000000,3,3,26.819.923,Rumah Dijual,200,261,,,,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-ridwan-20286444
Kelapa gading,25000000000,7,5,49.504.950,Rumah Dijual,490,505,Sebagian,,2,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-hengkie-tse-20285713
Kelapa Gading,2600000000,4,3,25.490.196,Rumah Dijual,144,102,Sebagian,,1,,2022-07-04,-6.157312,106.908438,"https://maps.google.com/maps?ll=-6.157312,106.908438&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-christi-20160872
Kelapa Gading,4500000000,4,3,28.125.000,Rumah Dijual,280,160,Sebagian,,2,,2022-07-04,-6.160455,106.905462,"https://maps.google.com/maps?ll=-6.160455,106.905462&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-rusli-lim-19814720
kelapa gading,3600000000,3,2,21.176.471,Rumah Dijual,100,170,Tak Berperabot,,1,,2022-07-04,-6.160726,106.915202,"https://maps.google.com/maps?ll=-6.160726,106.915202&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-gideon-go-20283795
Kelapa gading,11000000000,3,4,40.000.000,Rumah Dijual,650,275,Lengkap,,,,2022-07-04,-6.160726,106.915202,"https://maps.google.com/maps?ll=-6.160726,106.915202&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-felicia-s-19971108
Kelapa Gading,6000000000,6,5,32.085.561,Rumah Dijual,286,187,Tak Berperabot,,3,,2022-07-04,-6.146437,106.906188,"https://maps.google.com/maps?ll=-6.146437,106.906188&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-edward-chen-20230503
Kelapa gading,2150000000,4,3,17.622.951,Rumah Dijual,220,122,,,,,2022-07-04,0.7893,113.9213,"https://maps.google.com/maps?ll=0.7893,113.9213&z=16&t=m&hl=en-US&gl=US&mapclient=apiv3",,https://www.rumah.com/listing-properti/dijual-kelapa-gading-oleh-raymond-20283079
